packageName,policyEntity,policyAction,policyData,policySentences,contradictionNum,contradictoryEntity,contradictoryAction,contradictoryData,contradictionSentences,label
149_Peachat - Live Video Chat,third party,collect,content,"b'To help deliver personalized advertising, we may provide these service providers with a hashed, anonymized version of your personal information in a non-human-readable form and content that you share publicly on the Services.'",N1,third party,not_collect,password,"b'You should not share your password with any third party, and if you believe your password or account has been compromised, you should change it immediately and contact customerdesk@peachat.mobi with any concerns.'",0
149_Peachat - Live Video Chat,third party,collect,pii,"b'To help deliver personalized advertising, we may provide these service providers with a hashed, anonymized version of your personal information in a non-human-readable form and content that you share publicly on the Services.||These service providers may access your personal data and are required to use it solely as we direct, to provide our requested service.'",N1,third party,not_collect,password,"b'You should not share your password with any third party, and if you believe your password or account has been compromised, you should change it immediately and contact customerdesk@peachat.mobi with any concerns.'",0
125_My Family - Family Locator,third party,not_collect,pii,b'We will not share any Personal Data with third-parties for their direct marketing purposes to the extent prohibited by California law.',C1,third party,collect,pii,"b'We may, and you hereby authorize us to, disclose your Personal Information (including messages) to a third party without your consent: if we have reason to believe that disclosing this information is necessary to identify, contact or bring legal action against someone who may be causing injury to or interference with (either intentionally or unintentionally) our rights or property, other website users, or anyone else (including the rights or property of anyone else) that could be harmed by such activities, in connection with any legal investigation, when we believe in good faith that such disclosure is required by and in accordance with the law or to respond to subpoenas or warrants served on Family Locator, to any third party with your prior consent to do so.||Except for the limited disclosures described in this Privacy Policy, we do not sell customer lists or any personal information to third parties, and we will take all possible measures to keep your email address private to keep your email address private.'",0
125_My Family - Family Locator,third party,collect,pii,"b'We may, and you hereby authorize us to, disclose your Personal Information (including messages) to a third party without your consent: if we have reason to believe that disclosing this information is necessary to identify, contact or bring legal action against someone who may be causing injury to or interference with (either intentionally or unintentionally) our rights or property, other website users, or anyone else (including the rights or property of anyone else) that could be harmed by such activities, in connection with any legal investigation, when we believe in good faith that such disclosure is required by and in accordance with the law or to respond to subpoenas or warrants served on Family Locator, to any third party with your prior consent to do so.||Except for the limited disclosures described in this Privacy Policy, we do not sell customer lists or any personal information to third parties, and we will take all possible measures to keep your email address private to keep your email address private.'",C1,third party,not_collect,pii,b'We will not share any Personal Data with third-parties for their direct marketing purposes to the extent prohibited by California law.',0
125_My Family - Family Locator,third party,collect,pii,"b'We may, and you hereby authorize us to, disclose your Personal Information (including messages) to a third party without your consent: if we have reason to believe that disclosing this information is necessary to identify, contact or bring legal action against someone who may be causing injury to or interference with (either intentionally or unintentionally) our rights or property, other website users, or anyone else (including the rights or property of anyone else) that could be harmed by such activities, in connection with any legal investigation, when we believe in good faith that such disclosure is required by and in accordance with the law or to respond to subpoenas or warrants served on Family Locator, to any third party with your prior consent to do so.||Except for the limited disclosures described in this Privacy Policy, we do not sell customer lists or any personal information to third parties, and we will take all possible measures to keep your email address private to keep your email address private.'",N4,family member,not_collect,geographical location,"b'If you turn off location sharing we will not share your location with your family members; however, while you are logged in to your account, we will continue to collect your location information in order to provide the Family Locator Service (for example, to provide the Family Locator Services or to share your location with the members you allow to see your location).'",0
125_My Family - Family Locator,third party,collect,device information,"b'When you use the Family Locator Service, we and our business partners may collect certain information about your computer or device through technology such as cookies, web beacons, log files, or other tracking/recording tools.'",C2,third party,not_collect,pii,b'We will not share any Personal Data with third-parties for their direct marketing purposes to the extent prohibited by California law.',0
125_My Family - Family Locator,third party,collect,device information,"b'When you use the Family Locator Service, we and our business partners may collect certain information about your computer or device through technology such as cookies, web beacons, log files, or other tracking/recording tools.'",N4,family member,not_collect,geographical location,"b'If you turn off location sharing we will not share your location with your family members; however, while you are logged in to your account, we will continue to collect your location information in order to provide the Family Locator Service (for example, to provide the Family Locator Services or to share your location with the members you allow to see your location).'",0
125_My Family - Family Locator,child,collect,pii,"b""The child's personal information will be shared with other members of the family account.""",C3,third party,not_collect,pii,b'We will not share any Personal Data with third-parties for their direct marketing purposes to the extent prohibited by California law.',0
5_ChatGPT,third party,collect,ip address,"b'Identifiers, such as your name, contact details, IP address, and other device identifiers We may disclose this information to our affiliates, vendors and service providers to process in accordance with our instructions; to law enforcement and other third parties for the legal reasons described above; to parties involved in Transactions; to corporate administrators of enterprise or team accounts; and to other users and third parties you choose to share it with.'",C2,third party,not_collect,pii,"b'Disclosure of personal information In certain circumstances we may provide your Personal Information to third parties without further notice to you, unless required by the law vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may provide Personal Information to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, email communication software, web analytics services, and other information technology providers, among others.'",1
5_ChatGPT,third party,collect,device identifier,"b'Identifiers, such as your name, contact details, IP address, and other device identifiers We may disclose this information to our affiliates, vendors and service providers to process in accordance with our instructions; to law enforcement and other third parties for the legal reasons described above; to parties involved in Transactions; to corporate administrators of enterprise or team accounts; and to other users and third parties you choose to share it with.'",C2,third party,not_collect,pii,"b'Disclosure of personal information In certain circumstances we may provide your Personal Information to third parties without further notice to you, unless required by the law vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may provide Personal Information to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, email communication software, web analytics services, and other information technology providers, among others.'",1
