id,filename,tuple1,tuple2,contextId1,contextId2,label
1,100_Purple Ocean Psychic Readings,"(we,  collect,  account, user action)","(we,  not collect,  personal_info, no condition)",29,35,-1
2,100_Purple Ocean Psychic Readings,"(we,  collect,  address, user action)","(we,  not collect,  personal_info, no condition)",29,35,-1
3,100_Purple Ocean Psychic Readings,"(we,  collect,  contact_information, user action)","(we,  not collect,  personal_info, no condition)",14,35,-1
4,100_Purple Ocean Psychic Readings,"(we,  collect,  email, user action)","(we,  not collect,  email, user action)",29,39,-1
5,100_Purple Ocean Psychic Readings,"(we,  collect,  email, user action)","(we,  not collect,  personal_info, no condition)",29,35,-1
6,100_Purple Ocean Psychic Readings,"(we,  collect,  personal_info, user action)","(we,  not collect,  personal_info, no condition)",29,35,-1
7,100_Purple Ocean Psychic Readings,"(we,  collect,  protected_information, user action)","(we,  not collect,  personal_info, no condition)",8,35,-1
8,101_Trucker Path_ Truck GPS & Fuel,"(advertiser,  collect,  contact_information,  user consent)","(unspecified entity,  not collect,  personal_info, no condition)",125,140,-1
9,101_Trucker Path_ Truck GPS & Fuel,"(analytics,  collect,  analytics,  third party service)","(unspecified entity,  not collect,  personal_info, no condition)",127,140,-1
10,101_Trucker Path_ Truck GPS & Fuel,"(third_parties,  collect,  email,  third party service)","(unspecified entity,  not collect,  personal_info, no condition)",127,140,-1
11,101_Trucker Path_ Truck GPS & Fuel,"(third_parties,  collect,  personal_info,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",140,158,-1
12,101_Trucker Path_ Truck GPS & Fuel,"(unspecified entity,  collect,  address,  user consent)","(unspecified entity,  not collect,  personal_info, no condition)",94,140,-1
13,101_Trucker Path_ Truck GPS & Fuel,"(unspecified entity,  collect,  cookie, user action)","(unspecified entity,  not collect,  personal_info, no condition)",108,140,-1
14,101_Trucker Path_ Truck GPS & Fuel,"(unspecified entity,  collect,  email, user action)","(unspecified entity,  not collect,  personal_info, no condition)",115,140,-1
15,101_Trucker Path_ Truck GPS & Fuel,"(unspecified entity,  collect,  personal_info, user action)","(unspecified entity,  not collect,  personal_info, no condition)",140,143,-1
16,101_Trucker Path_ Truck GPS & Fuel,"(unspecified entity,  collect,  personal_name,  user consent)","(unspecified entity,  not collect,  personal_info, no condition)",94,140,-1
17,101_Trucker Path_ Truck GPS & Fuel,"(we,  collect,  address, user action)","(we,  not collect,  personal_info, no condition)",84,155,-1
18,101_Trucker Path_ Truck GPS & Fuel,"(we,  collect,  contact_information, user action)","(we,  not collect,  personal_info, no condition)",84,155,-1
19,101_Trucker Path_ Truck GPS & Fuel,"(we,  collect,  device,  region and user consent)","(we,  not collect,  non_personal_info,  region)",162,166,-1
20,101_Trucker Path_ Truck GPS & Fuel,"(we,  collect,  email, user action)","(we,  not collect,  personal_info, no condition)",84,155,-1
21,101_Trucker Path_ Truck GPS & Fuel,"(we,  collect,  personal_info, user action)","(we,  not collect,  personal_info, no condition)",84,155,-1
22,101_Trucker Path_ Truck GPS & Fuel,"(we,  collect,  personal_name, user action)","(we,  not collect,  personal_info, no condition)",84,155,-1
23,102_Transit ? Subway & Bus Times,"(third_parties,  collect,  location,  user consent and third party)","(unspecified entity,  not collect,  location,  third party)",178,191,-1
24,102_Transit ? Subway & Bus Times,"(unspecified entity,  collect,  account, user action)","(unspecified entity,  not collect,  account,  no condition)",188,188,-1
25,102_Transit ? Subway & Bus Times,"(unspecified entity,  collect,  contact_information,  user input)","(unspecified entity,  not collect,  email,  no condition)",182,188,0
26,102_Transit ? Subway & Bus Times,"(unspecified entity,  collect,  contact_information,  user input)","(unspecified entity,  not collect,  personal_name,  no condition)",182,188,0
27,102_Transit ? Subway & Bus Times,"(unspecified entity,  collect,  email, user action)","(unspecified entity,  not collect,  email,  no condition)",188,188,-1
28,102_Transit ? Subway & Bus Times,"(unspecified entity,  collect,  personal_name, user action)","(unspecified entity,  not collect,  personal_name,  no condition)",188,188,-1
29,102_Transit ? Subway & Bus Times,"(we,  collect,  software_identifier,  third party service)","(we,  not collect,  software_identifier,  third party service)",195,197,-1
30,104_GOHUNT,"(advertiser,  collect,  account,  third party)","(third_parties,  not collect,  personal_info,  no condition)",303,308,-1
31,104_GOHUNT,"(advertiser,  collect,  account,  third party)","(unspecified entity,  not collect,  account, no condition)",308,353,-1
32,104_GOHUNT,"(advertiser,  collect,  advertising_id, user action)","(third_parties,  not collect,  personal_info,  no condition)",303,308,-1
33,104_GOHUNT,"(advertiser,  collect,  advertising_statistics, user action)","(third_parties,  not collect,  personal_info,  no condition)",303,308,-1
34,104_GOHUNT,"(advertiser,  collect,  contact_information,  third party)","(third_parties,  not collect,  personal_info,  no condition)",303,308,-1
35,104_GOHUNT,"(advertiser,  collect,  cookie,  third party and specific operation)","(unspecified entity,  not collect,  cookie, user action)",300,344,-1
